Week,Mean,LowerBound,UpperBound
0,0,0,0
1,95.4434,91.5,99.4
2,97.4626,95.7,99.4
3,91.4366,85.9,97.1
4,101.2126,97.2,104.7
5,96.2122,90.3,100.9
6,97.2458,89,104.6
7,94.8134,90.6,98.7
8,100.2808,94.4,105.8
9,101.5812,97.1,106.6
10,99.0654,91.8,106.7
11,91.6942,87.5,97.4
12,92.264,86.5,97.8
13,93.6638,88.6,98.5
14,90.4892,85.1,96.1
15,96.7016,90.6,102.7
16,93.54,88.5,97.9
17,88.5176,83.3,94
18,91.3378,86,97.1
19,96.6838,93.3,100.3
20,94.2446,87.2,101.3
21,86.9362,82.4,91.1
22,96.4398,91.5,102.5
23,91.0958,87.2,95.3
24,96.6214,92.7,101
25,90.7902,85.7,95.4
26,90.3988,84.4,96.5
27,92.555,88.7,95.7
28,94.5864,87.6,100.4
29,86.644,81.9,91.3
30,95.028,90.4,100.7
31,95.731,91,100.8
32,94.394,88.3,100
33,86.1322,82.1,90
34,96.1726,91.4,101.1
35,88.9516,84,94.5
36,90.9434,85,96.8
37,95.4402,88.8,102.8
38,87.9954,82.3,92.9
39,92.4954,84.5,99.6
40,92.2378,85.9,98.5
41,93.1788,88.2,98.5
42,98.1524,93.5,102.7
43,96.4656,93.3,99.7
44,97.9056,93.4,102.3
45,85.418,82.1,88.7
46,89.3282,80.9,98
47,91.565,85.2,99.3
48,82.719,78.7,86.8
49,90.0772,85.7,95.2
50,92.2304,84.6,99.9
51,94.42,86.7,104
52,87.8908,83.7,92.6
53,90.2512,84.2,95.8
54,93.9206,90.1,97.4
55,92.6756,88.6,96.9
56,90.3252,84,96.2
57,91.4008,86.1,96.9
58,84.7864,79.5,90.6
59,88.9512,84.9,93.1
60,92.7672,87.4,98.1
61,89.7958,84.4,95.2
62,89.5058,85.3,93.8
63,90.8014,85.7,96.3
64,92.9802,88.5,97.4
65,83.49,77.8,89.6
66,87.7558,83,92.7
67,93.2382,87.1,99.1
68,92.3976,88.4,95.8
69,89.3788,84.8,93.5
70,93.0938,88.8,97.5
71,88.2948,83.7,92.7
72,91.7396,85.6,98.1
73,93.816,88.8,98.6
74,88.6454,83.1,94.7
75,87.3372,81.3,93.3
76,88.119,81.5,94.4
77,90.4416,84.3,96
78,91.6396,89.4,93.7
79,92.6368,88.1,97.8
80,85.6488,81.1,90.5
81,85.2794,79.5,90.2
82,88.7134,82.7,94.2
83,85.9772,80.6,91.1
84,89.8192,85.9,93.2
85,87.5342,82.5,92.9
