Week ,1st doses,2nd doses
5/22/22,0,0
5/29/22,0,0
6/5/22,42,0
6/12/22,8,0
6/19/22,34,0
6/26/22,589,0
7/3/22,282,8
7/10/22,85,0
7/17/22,1169,22
7/24/22,6236,267
7/31/22,8294,356
8/7/22,8074,162
8/14/22,8581,241
8/21/22,5082,3210
8/28/22,6606,5073
9/4/22,4338,4848
9/11/22,3203,5224
9/18/22,2725,4535
9/25/22,2047,4107
10/2/22,1499,3194
10/9/22,1221,2277
10/16/22,896,1794
10/23/22,799,1478
10/30/22,674,1285
11/6/22,703,966
11/13/22,520,733
11/20/22,450,705
11/27/22,227,386
12/4/22,359,562
12/11/22,298,487
12/18/22,270,388
12/25/22,146,232
1/1/23,140,193
1/8/23,132,207
1/15/23,186,237
1/22/23,111,147
1/29/23,135,174
2/5/23,129,127
2/12/23,120,115
2/19/23,106,138
2/26/23,80,101
3/5/23,89,110
3/12/23,98,106
3/19/23,95,96
3/26/23,96,70
4/2/23,85,81
4/9/23,86,63
4/16/23,74,69
4/23/23,74,96
4/30/23,82,67
5/7/23,86,73
5/14/23,175,98
5/21/23,188,115
5/28/23,175,105
6/4/23,282,106
6/11/23,358,152
6/18/23,241,137
6/25/23,197,147
7/2/23,228,152
7/9/23,186,122
7/16/23,200,143
7/23/23,220,146
7/30/23,176,171
8/6/23,159,145
8/13/23,145,116
8/20/23,184,107
8/27/23,248,151
9/3/23,280,118
9/10/23,143,97
9/17/23,219,90
9/24/23,228,112
10/1/23,131,108
10/8/23,134,81
10/15/23,109,102
10/22/23,120,90
10/29/23,120,111
11/5/23,80,63
11/12/23,89,72
11/19/23,139,79
11/26/23,79,53
12/3/23,117,70
12/10/23,97,42
12/17/23,171,81
12/24/23,103,53
12/31/23,47,33
1/7/24,48,42
1/14/24,43,58
1/21/24,119,55
1/28/24,41,51
2/4/24,77,40
2/11/24,78,42
2/18/24,62,64
2/25/24,58,38
3/3/24,83,48
3/10/24,77,43
3/17/24,54,27
3/24/24,65,51
3/31/24,85,41
4/7/24,43,34
4/14/24,93,42
4/21/24,115,58
4/28/24,78,45
5/5/24,62,35
5/12/24,63,47
5/19/24,102,55
5/26/24,74,47
6/2/24,203,85
6/9/24,143,61
6/16/24,180,67
6/23/24,122,56
6/30/24,164,81
7/7/24,181,57
7/14/24,266,85
7/21/24,226,76
7/28/24,231,73
8/4/24,183,82
8/11/24,211,68
8/18/24,261,103
8/25/24,514,129
9/1/24,390,98
9/8/24,182,71
9/15/24,182,109
9/22/24,192,190
9/29/24,196,200
10/6/24,146,133
10/13/24,118,147
10/20/24,130,92
