Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.8018,0.5,1
2,0.4034,0.1,0.7
3,0.8736,0.5,1.3
4,1.0002,0.5,1.7
5,1.7908,1.2,2.4
6,1.2098,0.6,1.8
7,1.9296,1,2.9
8,1.1308,0.4,2
9,2.032,1,2.9
10,2.1712,1.4,3
11,1.6898,1,2.4
12,2.4678,1.8,3.3
13,2.8648,1.8,3.9
14,2.2098,1.4,3.2
15,1.8122,1.1,2.5
16,2.133,1.4,2.9
17,1.9594,0.8,3.1
18,2.0704,1.5,2.7
19,2.1536,1,3.5
20,2.4264,1.2,4
21,1.3916,0.5,2.4
22,2.2966,1.2,3.4
23,1.6054,0.5,2.9
24,2.5534,1.7,3.5
25,1.521,1,2.1
26,2.416,1.7,3.1
27,2.7872,1.5,3.9
28,2.3806,1.6,3.2
29,1.5952,0.8,2.4
30,2.3826,1.4,3.4
31,2.584,1.7,3.5
32,2.7252,1.8,3.5
33,1.2932,0.9,1.7
34,3.2024,1.9,4.7
35,1.9764,0.9,3
36,1.7114,1.1,2.3
37,3.219,2.4,4.2
38,1.9028,1,2.8
39,1.7982,1.1,2.5
40,2.2036,1.4,3
41,1.582,0.9,2.3
42,2.5914,1.6,3.9
43,1.6866,0.9,2.5
44,2.6146,1.2,4.3
45,1.7882,1.3,2.2
46,3.1088,2.3,4
47,2.2144,1.4,3
48,1.4928,0.7,2.5
49,1.5086,0.9,2.2
50,2.5884,1.6,3.5
51,1.7104,0.9,2.5
52,2.0018,1.2,2.9
53,1.9704,1.1,2.9
54,1.4752,0.9,2.1
55,1.8252,1.1,2.6
56,2.7106,1.9,3.9
57,1.2688,0.7,2
58,1.797,1.3,2.3
59,1.5128,0.9,2
60,1.502,0.4,3
61,2.5086,1.7,3.4
62,1.8824,1.2,2.6
63,1.4068,0.7,2.2
64,2.2694,1.3,3.3
65,2.017,1.4,2.6
66,2.3046,1.4,3.2
67,2.301,1.6,3
68,2.501,1.7,3.3
69,3.2406,2.3,4.3
70,1.3062,0.8,2
71,2.107,1.4,2.9
72,3.1952,2.2,4.4
73,2.6322,1.2,3.9
74,2.1088,1.3,2.8
75,1.6166,0.9,2.4
76,2.2672,1.5,3.1
77,1.6868,0.9,2.5
78,2.2678,1.1,3.6
79,1.4974,0.7,2.3
80,1.7228,0.8,2.8
81,1.7844,1,2.8
82,2.141,1.1,3.2
83,2.0362,0.9,3.3
84,2.1716,1.5,2.7
85,3.1018,2,4.6
