Week,Mean,LowerBound,UpperBound
0,0,0,0
1,94.4128,88.8,100.2
2,91.7618,86.9,96.2
3,93.2974,88,99.4
4,87.9458,82.4,93.2
5,95.1098,87.4,101.7
6,94.5624,88.6,101.3
7,96.5604,91.3,102.7
8,93.743,88,99.8
9,94.2826,88.7,100.2
10,95.0026,88.9,101
11,93.0574,86.6,99
12,93.4152,85.7,100.9
13,89.7846,84,95.5
14,91.5872,86.3,96.8
15,91.53,83.9,98.7
16,95.83,92.2,100.1
17,91.5142,86.4,96.4
18,91.7316,86.5,97.8
19,92.4126,87.2,98.1
20,93.2604,84.5,100.8
21,91.1248,87.4,95.5
22,92.754,87.4,98.1
23,92.7598,88,97.7
24,93.953,88.4,99.6
25,90.5712,84.7,95.7
26,93.6934,87.8,99.8
27,91.4012,86,97.6
28,86.9792,83.8,90.6
29,89.4726,85.6,93.3
30,91.986,87.2,96.8
31,96.975,89.4,105.1
32,96.2628,88.2,103.4
33,93.0914,87.6,98.8
34,89.2876,84.3,93.5
35,93.3414,89.4,98.4
36,90.1108,86.4,93.9
37,89.9864,84.4,95.5
38,101.8226,96,107.1
39,96.2358,91.2,101
40,92.545,89,96
41,87.6494,82.7,93.7
42,96.9806,91.5,102.9
43,93.7632,89.5,98.6
44,91.6492,86.5,96.2
45,91.7166,88,95.4
46,92.5984,89.4,96
47,86.939,82.2,93.4
48,91.119,86.6,94.6
49,92.4836,87.6,97.8
50,97.3962,92.5,101.7
51,86.8716,81.8,92
52,94.7398,92.5,96.8
53,92.8496,88.7,97.6
54,93.9782,88,99.5
55,92.461,88,97.1
56,89.8156,83.1,95.4
57,92.475,88.6,96.4
58,91.2772,85.8,98.8
59,92.8518,89.1,96.9
60,91.512,87.9,94.9
61,88.9064,81,95.6
62,88.3126,82.4,93.6
63,92.153,86.1,98.2
64,88.6266,82.5,94.1
65,95.9888,92,100.7
66,96.9044,92.3,101.6
67,91.4572,84.9,97
68,89.628,85.2,94.6
69,95.6002,91.3,100.7
70,87.4458,84.2,91.3
71,88.1,85.3,90.9
72,90.0702,87.1,93
73,93.8694,87.1,101.9
74,87.0688,82.1,91.6
75,83.9062,78.2,88.7
76,86.7456,81.3,92.8
77,88.0238,83.3,93.6
78,90.752,85.2,96.6
79,86.1314,82,89.6
80,89.3416,84.4,94.6
81,88.6238,83.3,94
82,90.7328,86.7,94.9
83,88.2242,82.7,93.3
84,89.0192,81.7,96.1
85,89.3756,85.6,92.5
